"","Country","Region","X2015","X2016","X2017","diff"
"1","Latvia","Central and Eastern Europe",5.098,5.56,5.849999905,0.751999905
"2","Romania","Central and Eastern Europe",5.124,5.528,5.824999809,0.700999809000001
"3","Senegal","Sub-Saharan Africa",3.904,4.219,4.534999847,0.630999847
"4","Gabon","Sub-Saharan Africa",3.896,4.121,4.465000153,0.569000153
"5","Egypt","Middle East and Northern Africa",4.194,4.362,4.735000134,0.541000134
"6","Ivory Coast","Sub-Saharan Africa",3.655,3.916,4.179999828,0.524999828
"7","Hungary","Central and Eastern Europe",4.8,5.145,5.323999882,0.523999882
"8","Bulgaria","Central and Eastern Europe",4.218,4.217,4.714000225,0.496000225
"9","Nepal","Southern Asia",4.514,4.793,4.961999893,0.447999893
"10","Burkina Faso","Sub-Saharan Africa",3.587,3.739,4.032000065,0.445000065
"11","Cameroon","Sub-Saharan Africa",4.252,4.513,4.695000172,0.443000172000001
"12","Honduras","Latin America and Caribbean",4.788,4.871,5.181000233,0.393000233
"13","Lebanon","Middle East and Northern Africa",4.839,5.129,5.224999905,0.385999904999999
"14","Greece","Western Europe",4.857,5.033,5.227000237,0.370000237
"15","Philippines","Southeastern Asia",5.073,5.279,5.429999828,0.356999827999999
"16","Cambodia","Southeastern Asia",3.819,3.907,4.168000221,0.349000221
"17","Dominican Republic","Latin America and Caribbean",4.885,5.155,5.230000019,0.345000019
"18","Guatemala","Latin America and Caribbean",6.123,6.324,6.453999996,0.330999996
"19","Benin","Sub-Saharan Africa",3.34,3.484,3.657000065,0.317000065
"20","Malaysia","Southeastern Asia",5.77,6.005,6.084000111,0.314000111
"21","Congo (Brazzaville)","Sub-Saharan Africa",3.989,4.236,4.290999889,0.301999889
"22","Turkmenistan","Central and Eastern Europe",5.548,5.658,5.822000027,0.274000027
"23","Serbia","Central and Eastern Europe",5.123,5.177,5.394999981,0.271999981
"24","Chad","Sub-Saharan Africa",3.667,3.763,3.936000109,0.269000109
"25","Algeria","Middle East and Northern Africa",5.605,6.355,5.872000217,0.267000217
"26","Tajikistan","Central and Eastern Europe",4.786,4.996,5.040999889,0.254999889
"27","Russia","Central and Eastern Europe",5.716,5.856,5.962999821,0.246999821
"28","Nicaragua","Latin America and Caribbean",5.828,5.992,6.071000099,0.243000099
"29","Myanmar","Southeastern Asia",4.307,4.395,4.545000076,0.238000076
"30","Bosnia and Herzegovina","Central and Eastern Europe",4.949,5.163,5.18200016,0.23300016
"31","Malta","Western Europe",6.302,6.488,6.52699995,0.224999950000001
"32","Morocco","Middle East and Northern Africa",5.013,5.151,5.235000134,0.222000134
"33","Afghanistan","Southern Asia",3.575,3.36,3.79399991,0.21899991
"34","Sierra Leone","Sub-Saharan Africa",4.507,4.635,4.709000111,0.202000111
"35","Germany","Western Europe",6.75,6.994,6.951000214,0.201000214
"36","Mali","Sub-Saharan Africa",3.995,4.073,4.190000057,0.195000057
"37","South Africa","Sub-Saharan Africa",4.642,4.459,4.828999996,0.186999996
"38","Niger","Sub-Saharan Africa",3.845,3.856,4.027999878,0.182999878
"39","Estonia","Central and Eastern Europe",5.429,5.517,5.611000061,0.182000061
"40","Poland","Central and Eastern Europe",5.791,5.835,5.97300005,0.182000049999999
"41","Sri Lanka","Southern Asia",4.271,4.415,4.440000057,0.169000057
"42","Macedonia","Central and Eastern Europe",5.007,5.121,5.175000191,0.168000191
"43","Turkey","Middle East and Northern Africa",5.332,5.389,5.5,0.168
"44","Mauritius","Sub-Saharan Africa",5.477,5.648,5.629000187,0.152000187
"45","Uganda","Sub-Saharan Africa",3.931,3.739,4.080999851,0.149999851
"46","Jordan","Middle East and Northern Africa",5.192,5.303,5.335999966,0.143999966
"47","Kenya","Sub-Saharan Africa",4.419,4.356,4.552999973,0.133999973000001
"48","China","Eastern Asia",5.14,5.245,5.272999763,0.132999763
"49","Bahrain","Middle East and Northern Africa",5.96,6.218,6.086999893,0.126999893
"50","North Cyprus","Western Europe",5.695,5.771,5.809999943,0.114999943
"51","Czech Republic","Central and Eastern Europe",6.505,6.596,6.609000206,0.104000206
"52","Slovakia","Central and Eastern Europe",5.995,6.078,6.09800005,0.103000049999999
"53","Portugal","Western Europe",5.102,5.123,5.195000172,0.093000172
"54","Mongolia","Eastern Asia",4.874,4.907,4.954999924,0.0809999240000003
"55","Pakistan","Southern Asia",5.194,5.132,5.269000053,0.0750000530000001
"56","Spain","Western Europe",6.329,6.361,6.402999878,0.0739998780000004
"57","Lithuania","Central and Eastern Europe",5.833,5.813,5.90199995,0.0689999500000003
"58","Tunisia","Middle East and Northern Africa",4.739,5.045,4.804999828,0.0659998279999998
"59","Finland","Western Europe",7.406,7.413,7.468999863,0.0629998629999999
"60","Palestinian Territories","Middle East and Northern Africa",4.715,4.754,4.775000095,0.0600000950000004
"61","Montenegro","Central and Eastern Europe",5.192,5.161,5.236999989,0.0449999889999999
"62","Ireland","Western Europe",6.94,6.907,6.977000237,0.037000237
"63","Ecuador","Latin America and Caribbean",5.975,5.976,6.007999897,0.0329998970000007
"64","New Zealand","Australia and New Zealand",7.286,7.334,7.31400013,0.0280001300000006
"65","Armenia","Central and Eastern Europe",4.35,4.36,4.375999928,0.0259999280000001
"66","Argentina","Latin America and Caribbean",6.574,6.65,6.598999977,0.0249999770000002
"67","Azerbaijan","Central and Eastern Europe",5.212,5.291,5.234000206,0.0220002060000004
"68","Italy","Western Europe",5.948,5.977,5.964000225,0.016000225
"69","Norway","Western Europe",7.522,7.498,7.537000179,0.0150001789999994
"70","Rwanda","Sub-Saharan Africa",3.465,3.515,3.470999956,0.00599995600000014
"71","Iran","Middle East and Northern Africa",4.686,4.813,4.691999912,0.00599991200000005
"72","Trinidad and Tobago","Latin America and Caribbean",6.168,6.168,6.168000221,2.20999999633875e-07
"73","Australia","Australia and New Zealand",7.284,7.313,7.28399992,-7.99999995138023e-08
"74","Netherlands","Western Europe",7.378,7.339,7.376999855,-0.0010001449999999
"75","Denmark","Western Europe",7.527,7.526,7.521999836,-0.00500016400000014
"76","Georgia","Central and Eastern Europe",4.297,4.252,4.285999775,-0.0110002250000001
"77","Chile","Latin America and Caribbean",6.67,6.705,6.65199995,-0.0180000499999995
"78","Uruguay","Latin America and Caribbean",6.485,6.545,6.453999996,-0.031000004
"79","Thailand","Southeastern Asia",6.455,6.474,6.423999786,-0.0310002139999996
"80","Uzbekistan","Central and Eastern Europe",6.003,5.987,5.971000195,-0.0319998049999999
"81","Kazakhstan","Central and Eastern Europe",5.855,5.919,5.818999767,-0.0360002330000002
"82","Madagascar","Sub-Saharan Africa",3.681,3.695,3.644000053,-0.036999947
"83","Belgium","Western Europe",6.937,6.929,6.890999794,-0.0460002060000004
"84","Moldova","Central and Eastern Europe",5.889,5.897,5.837999821,-0.0510001789999999
"85","Ethiopia","Sub-Saharan Africa",4.512,4.508,4.460000038,-0.0519999619999991
"86","Iceland","Western Europe",7.561,7.501,7.504000187,-0.056999813
"87","Israel","Middle East and Northern Africa",7.278,7.267,7.212999821,-0.0650001789999992
"88","Japan","Eastern Asia",5.987,5.921,5.920000076,-0.0669999240000001
"89","Bolivia","Latin America and Caribbean",5.89,5.822,5.822999954,-0.0670000459999995
"90","Saudi Arabia","Middle East and Northern Africa",6.411,6.379,6.343999863,-0.067000137
"91","Cyprus","Western Europe",5.689,5.546,5.620999813,-0.068000187
"92","Sweden","Western Europe",7.364,7.291,7.28399992,-0.0800000799999996
"93","Luxembourg","Western Europe",6.946,6.871,6.862999916,-0.083000084
"94","Bangladesh","Southern Asia",4.694,4.643,4.607999802,-0.0860001979999998
"95","Slovenia","Central and Eastern Europe",5.848,5.768,5.757999897,-0.0900001029999995
"96","Switzerland","Western Europe",7.587,7.509,7.493999958,-0.0930000419999999
"97","Peru","Latin America and Caribbean",5.824,5.743,5.715000153,-0.108999847
"98","Canada","North America",7.427,7.404,7.315999985,-0.111000014999999
"99","Colombia","Latin America and Caribbean",6.477,6.481,6.356999874,-0.120000126
"100","United States","North America",7.119,7.104,6.993000031,-0.125999969
"101","El Salvador","Latin America and Caribbean",6.13,6.068,6.002999783,-0.127000217
"102","France","Western Europe",6.575,6.478,6.441999912,-0.133000088
"103","Indonesia","Southeastern Asia",5.399,5.314,5.262000084,-0.136999916
"104","Mauritania","Sub-Saharan Africa",4.436,4.201,4.291999817,-0.144000183
"105","South Korea","Eastern Asia",5.984,5.835,5.837999821,-0.146000179
"106","Costa Rica","Latin America and Caribbean",7.226,7.087,7.078999996,-0.147000004
"107","Guinea","Sub-Saharan Africa",3.656,3.607,3.506999969,-0.149000031
"108","United Kingdom","Western Europe",6.867,6.725,6.714000225,-0.152999775
"109","Iraq","Middle East and Northern Africa",4.677,4.575,4.497000217,-0.179999783
"110","Kuwait","Middle East and Northern Africa",6.295,6.239,6.105000019,-0.189999981
"111","Austria","Western Europe",7.2,7.119,7.006000042,-0.193999958
"112","Nigeria","Sub-Saharan Africa",5.268,4.875,5.073999882,-0.194000118
"113","Singapore","Southeastern Asia",6.798,6.739,6.572000027,-0.225999973
"114","Libya","Middle East and Northern Africa",5.754,5.615,5.525000095,-0.228999904999999
"115","Qatar","Middle East and Northern Africa",6.611,6.375,6.375,-0.236
"116","Congo (Kinshasa)","Sub-Saharan Africa",4.517,4.272,4.28000021,-0.23699979
"117","Angola","Sub-Saharan Africa",4.033,3.866,3.795000076,-0.237999924
"118","Bhutan","Southern Asia",5.253,5.196,5.011000156,-0.241999844
"119","Belarus","Central and Eastern Europe",5.813,5.802,5.568999767,-0.244000233
"120","India","Southern Asia",4.565,4.404,4.315000057,-0.249999943000001
"121","United Arab Emirates","Middle East and Northern Africa",6.901,6.573,6.647999763,-0.253000237
"122","Kyrgyzstan","Central and Eastern Europe",5.286,5.185,5.004000187,-0.281999813
"123","Vietnam","Southeastern Asia",5.36,5.061,5.073999882,-0.286000118
"124","Kosovo","Central and Eastern Europe",5.589,5.401,5.278999805,-0.310000195000001
"125","Albania","Central and Eastern Europe",4.959,4.655,4.644000053,-0.314999947
"126","Malawi","Sub-Saharan Africa",4.292,4.156,3.970000029,-0.321999971
"127","Panama","Latin America and Caribbean",6.786,6.701,6.452000141,-0.333999859
"128","Brazil","Latin America and Caribbean",6.983,6.952,6.635000229,-0.347999771
"129","Paraguay","Latin America and Caribbean",5.878,5.538,5.493000031,-0.384999969
"130","Jamaica","Latin America and Caribbean",5.709,5.51,5.31099987,-0.39800013
"131","Sudan","Sub-Saharan Africa",4.55,4.139,4.138999939,-0.411000061
"132","Tanzania","Sub-Saharan Africa",3.781,3.666,3.348999977,-0.432000023
"133","Croatia","Central and Eastern Europe",5.759,5.488,5.293000221,-0.465999779000001
"134","Yemen","Middle East and Northern Africa",4.077,3.724,3.592999935,-0.484000065
"135","Ghana","Sub-Saharan Africa",4.633,4.276,4.119999886,-0.513000114
"136","Botswana","Sub-Saharan Africa",4.332,3.974,3.766000032,-0.565999968
"137","Ukraine","Central and Eastern Europe",4.681,4.324,4.096000195,-0.584999805
"138","Mexico","Latin America and Caribbean",7.187,6.778,6.578000069,-0.608999931
"139","Zambia","Sub-Saharan Africa",5.129,4.795,4.513999939,-0.615000061
"140","Zimbabwe","Sub-Saharan Africa",4.61,4.193,3.875,-0.735
"141","Haiti","Latin America and Caribbean",4.518,4.028,3.602999926,-0.915000074
"142","Liberia","Sub-Saharan Africa",4.571,3.622,3.532999992,-1.038000008
"143","Venezuela","Latin America and Caribbean",6.81,6.084,5.25,-1.56
